Currency,Date,Closing Price (USD),% Change,,,,Date,Cum Cases,Cum Deaths,%Change Cases,%Change Deaths,,,,,,,
BCH,04/04/2020,237.9423416,1%,,,,,,,,,,,,,,,
BCH,06/04/2020,253.1435385,6%,,,,,,,,,,,,,,,
BCH,07/04/2020,251.5909805,-1%,,,,,,,,,,,,,,,
BCH,08/04/2020,269.2600643,7%,,,,,,,,,,,,,,,
BCH,10/04/2020,232.8838169,-14%,,,,,,,,,,,,,,,
BCH,12/04/2020,231.566289,-1%,,,,,,,,,,,,,,,
BTC,12/01/2020,8149.313717,0,,,,,,,,,,,,,,,
BTC,13/01/2020,8116.961008,0%,,,,,,,,,,,,,,,
BTC,14/01/2020,8735.142439,8%,,,,,,,,,,,,,,,
BTC,15/01/2020,8843.675732,1%,,,,,,,,,,,,,,,
BTC,16/01/2020,8711.637578,-1%,,,,,,,,,,,,,,,
BTC,17/01/2020,8925.299028,2%,,,,,,,,,,,,,,,
BTC,18/01/2020,8939.8643,0%,,,,,,,,,,,,,,,
BTC,19/01/2020,8638.18144,-3%,,,,,,,,,,,,,,,
BTC,20/01/2020,8652.683763,0%,,,,,,,,,,,,,,,
BTC,21/01/2020,8708.786013,1%,,,,,,,,,,,,,,,
BTC,22/01/2020,8635.074357,-1%,,,,,,,,,,,,,,,
BTC,23/01/2020,8384.088777,-3%,,,,,,,,,,,,,,,
BTC,24/01/2020,8451.232296,1%,,,,,,,,,,,,,,,
BTC,25/01/2020,8347.567505,-1%,,,,,,,,,,,,,,,
BTC,26/01/2020,8562.30747,3%,,,,,,,,,,,,,,,
BTC,27/01/2020,8881.962391,4%,,,,,,,,,,,,,,,
BTC,28/01/2020,9131.114988,3%,,,,,,,,,,,,,,,
BTC,29/01/2020,9320.978406,2%,,,,,,,,,,,,,,,
BTC,30/01/2020,9545.077957,2%,,,,,,,,,,,,,,,
BTC,31/01/2020,9388.880752,-2%,,,,,,,,,,,,,,,
BTC,01/02/2020,9363.193383,0%,,,,,,,,,,,,,,,
BTC,02/02/2020,9385.260386,0%,,,,,,,,,,,,,,,
BTC,03/02/2020,9269.707035,-1%,,,,,,,,,,,,,,,
BTC,04/02/2020,9177.894637,-1%,,,,,,,,,,,,,,,
BTC,05/02/2020,9625.456637,5%,,,,,,,,,,,,,,,
BTC,06/02/2020,9681.377411,1%,,,,,,,,,,,,,,,
BTC,07/02/2020,9795.344066,1%,,,,,,,,,,,,,,,
BTC,08/02/2020,9927.778256,1%,,,,,,,,,,,,,,,
BTC,09/02/2020,10132.7065,2%,,,,,,,,,,,,,,,
BTC,10/02/2020,9838.900016,-3%,,,,,,,,,,,,,,,
BTC,11/02/2020,10236.63515,4%,,,,,,,,,,,,,,,
BTC,12/02/2020,10364.92629,1%,,,,,,,,,,,,,,,
BTC,13/02/2020,10218.09974,-1%,,,,,,,,,,,,,,,
BTC,14/02/2020,10367.528,1%,,,,,,,,,,,,,,,
BTC,15/02/2020,9926.353691,-4%,,,,,,,,,,,,,,,
BTC,16/02/2020,9876.234963,-1%,,,,,,,,,,,,,,,
BTC,17/02/2020,9636.624095,-2%,,,,,,,,,,,,,,,
BTC,18/02/2020,10189.99598,6%,,,,,,,,,,,,,,,
BTC,19/02/2020,9701.037191,-5%,,,,,,,,,,,,,,,
BTC,20/02/2020,9631.484946,-1%,,,,,,,,,,,,,,,
BTC,21/02/2020,9670.858654,0%,,,,,,,,,,,,,,,
BTC,22/02/2020,9689.086743,0%,,,,,,,,,,,,,,,
BTC,23/02/2020,9919.551448,2%,,,,,,,,,,,,,,,
BTC,24/02/2020,9640.469505,-3%,,,,,,,,,,,,,,,
BTC,25/02/2020,9392.869629,-3%,,,,,,,,,,,,,,,
BTC,26/02/2020,8787.978363,-6%,,,,,,,,,,,,,,,
BTC,27/02/2020,8784.995352,0%,,,,,,,,,,,,,,,
BTC,28/02/2020,8778.470511,0%,,,,,,,,,,,,,,,
BTC,29/02/2020,8639.591417,-2%,,,,,,,,,,,,,,,
BTC,01/03/2020,8548.948322,-1%,,,,,,,,,,,,,,,
BTC,02/03/2020,8923.044398,4%,,,,,,,,,,,,,,,
BTC,03/03/2020,8791.112058,-1%,,,,,,,,,,,,,,,
BTC,04/03/2020,8756.961062,0%,,,,,,,,,,,,,,,
BTC,05/03/2020,9078.578777,4%,,,,,,,,,,,,,,,
BTC,06/03/2020,9126.636822,1%,,,,,,,,,,,,,,,
BTC,07/03/2020,8925.213488,-2%,,,,,,,,,,,,,,,
BTC,08/03/2020,8166.313894,-9%,,,,,,,,,,,,,,,
BTC,09/03/2020,7875.750875,-4%,,,,,,,,,,,,,,,
BTC,10/03/2020,7959.228274,1%,,,,,,,,,,,,,,,
BTC,11/03/2020,7955.306284,0%,,,,,,,,,,,,,,,
